iter	RMSE
0	0.3418985985
1	0.3290420607
2	0.3181438038
3	0.3085797883
4	0.3000459813
5	0.2923241517
6	0.285456508
7	0.2792537993
8	0.2736710538
9	0.2687746425
10	0.2643114819
11	0.260322422
12	0.2567812956
13	0.2535930499
14	0.2506237226
15	0.2478347268
16	0.2447560737
17	0.2426226007
18	0.2404539006
19	0.2385584946
20	0.2360647364
21	0.2344814699
22	0.2326020034
23	0.2313878044
24	0.2295456093
25	0.2283861929
26	0.2269589003
27	0.2259966434
28	0.2251340278
29	0.2242298725
30	0.2235394519
31	0.2229967883
32	0.2221967059
33	0.2214743149
34	0.220482751
35	0.2199594683
36	0.2192395584
37	0.2186368715
38	0.2182158141
39	0.2177993275
40	0.2174463378
41	0.2166882893
42	0.2161353715
43	0.2158420399
44	0.2154948687
45	0.2151878788
46	0.214783684
47	0.2143140417
48	0.2140545263
49	0.2138357258
50	0.2135997038
51	0.2132416232
52	0.2130027067
53	0.2128648544
54	0.2124380309
55	0.212228442
56	0.2119922214
57	0.2118613066
58	0.2116887952
59	0.21157118
60	0.2113704591
61	0.2110828241
62	0.2109351501
63	0.2106858393
64	0.2104037589
65	0.2102809609
66	0.2101155734
67	0.2099583328
68	0.2098124639
69	0.2096791658
70	0.2094518045
71	0.2093473803
72	0.2092158384
73	0.2089826812
74	0.2088129174
75	0.2086111076
76	0.208521298
77	0.2081376421
78	0.2079738744
79	0.2076634388
80	0.2074808876
81	0.2073890579
82	0.207314646
83	0.2072024917
84	0.2070833057
85	0.206815558
86	0.2066899515
87	0.2065003978
88	0.2063147345
89	0.2062118317
90	0.2061380323
91	0.2060912471
92	0.2059305568
93	0.2057099891
94	0.2056240327
95	0.2054843092
96	0.2053922403
97	0.2052234895
98	0.2051327433
99	0.2050537506
100	0.2049064529
101	0.2047266386
102	0.20457273
103	0.20445347
104	0.2043881547
105	0.2042844115
106	0.2042155379
107	0.2041696467
108	0.2040835262
109	0.2040043328
110	0.2039089319
111	0.2038271976
112	0.2037475165
113	0.2036483163
114	0.2035445814
115	0.2034688847
116	0.2033508614
117	0.2032109434
118	0.2031064328
119	0.2029488843
120	0.2028730158
121	0.2028400453
122	0.2027944416
123	0.2026696425
124	0.2025904763
125	0.2025309145
126	0.2024853557
127	0.2024255449
