iter	Passed	Remaining
0	5	5151
1	9	4756
2	14	4783
3	18	4700
4	25	4994
5	29	4840
6	33	4822
7	38	4807
8	43	4746
9	47	4692
10	52	4718
11	58	4786
12	62	4750
13	67	4720
14	71	4704
15	76	4679
16	80	4662
17	85	4666
18	90	4663
19	94	4651
20	99	4623
21	103	4594
22	107	4564
23	111	4553
24	116	4539
25	121	4562
26	126	4542
27	130	4522
28	134	4496
29	138	4470
30	143	4470
31	147	4447
32	153	4484
33	157	4465
34	161	4458
35	165	4435
36	170	4424
37	173	4402
38	177	4381
39	182	4390
40	187	4384
41	191	4378
42	195	4357
43	200	4348
44	204	4331
45	208	4322
46	212	4309
47	218	4332
48	222	4320
49	226	4309
50	231	4305
51	235	4296
52	239	4283
53	243	4267
54	249	4289
55	253	4279
56	258	4274
57	262	4269
58	267	4263
59	271	4251
60	275	4241
61	279	4234
62	284	4234
63	288	4226
64	293	4215
65	296	4202
66	300	4188
67	304	4173
68	308	4165
69	313	4160
70	317	4156
71	321	4148
72	326	4140
73	330	4131
74	334	4123
75	338	4113
76	342	4102
77	347	4107
78	351	4096
79	355	4089
80	360	4087
81	364	4085
82	369	4079
83	373	4074
84	379	4085
85	384	4090
86	389	4086
87	393	4077
88	397	4068
89	401	4059
90	405	4051
91	409	4040
92	416	4057
93	420	4053
94	425	4053
95	430	4058
96	435	4050
97	439	4044
98	460	4187
99	464	4176
100	468	4166
101	472	4161
102	478	4171
103	483	4166
104	487	4157
105	491	4149
106	496	4140
107	500	4134
108	505	4129
109	510	4132
110	515	4126
111	519	4118
112	524	4114
113	528	4105
114	532	4098
115	536	4088
116	541	4088
117	546	4083
118	550	4076
119	554	4066
120	558	4057
121	562	4046
122	566	4037
123	570	4030
124	575	4028
125	579	4019
126	583	4012
127	587	4003
128	591	3995
129	595	3985
130	599	3978
131	603	3970
132	609	3971
133	613	3962
134	617	3955
135	621	3947
136	625	3939
137	629	3931
138	633	3925
139	639	3927
140	643	3921
141	647	3913
142	651	3904
143	655	3898
144	660	3897
145	665	3891
146	669	3885
147	675	3887
148	679	3881
149	683	3873
150	688	3869
151	692	3861
152	696	3855
153	700	3847
154	706	3849
155	711	3847
156	715	3842
157	720	3839
158	724	3832
159	728	3826
160	733	3821
161	739	3825
162	744	3821
163	748	3814
164	752	3808
165	756	3802
166	760	3793
167	764	3786
168	769	3783
169	773	3777
170	777	3770
171	781	3762
172	785	3755
173	789	3748
174	793	3741
175	797	3734
176	802	3729
177	806	3726
178	810	3718
179	815	3712
180	819	3705
181	822	3697
182	826	3691
183	830	3683
184	835	3680
185	839	3674
186	843	3668
187	847	3660
188	851	3652
189	855	3647
190	859	3641
191	863	3634
192	868	3632
193	872	3626
194	877	3623
195	882	3620
196	887	3615
197	891	3610
198	895	3604
199	900	3600
200	904	3595
201	908	3588
202	912	3583
203	916	3575
204	920	3568
205	924	3562
206	927	3555
207	933	3553
208	937	3547
209	941	3540
210	945	3533
211	948	3526
212	952	3520
213	956	3514
214	960	3508
215	966	3506
216	970	3501
217	974	3493
218	977	3487
219	981	3481
220	985	3474
221	989	3468
222	993	3462
223	998	3459
224	1002	3453
225	1006	3447
226	1010	3442
227	1014	3436
228	1019	3431
229	1023	3425
230	1027	3419
231	1032	3416
232	1036	3411
233	1040	3404
234	1043	3397
235	1047	3392
236	1051	3386
237	1055	3380
238	1060	3375
239	1064	3372
240	1068	3366
241	1072	3360
242	1076	3354
243	1080	3348
244	1084	3342
245	1089	3338
246	1093	3334
247	1100	3335
248	1104	3330
249	1108	3326
250	1113	3323
251	1118	3318
252	1122	3314
253	1128	3313
254	1132	3309
255	1136	3303
256	1141	3298
257	1145	3293
258	1149	3288
259	1153	3282
260	1158	3281
261	1163	3278
262	1167	3272
263	1171	3267
264	1175	3261
265	1179	3255
266	1183	3249
267	1188	3245
268	1192	3241
269	1197	3237
270	1201	3232
271	1207	3231
272	1212	3229
273	1218	3229
274	1223	3226
275	1230	3226
276	1235	3223
277	1240	3220
278	1245	3217
279	1249	3213
280	1254	3209
281	1260	3208
282	1265	3205
283	1270	3203
284	1275	3198
285	1279	3194
286	1284	3190
287	1289	3187
288	1294	3184
289	1298	3178
290	1302	3173
291	1307	3169
292	1311	3164
293	1317	3164
294	1322	3160
295	1326	3154
296	1331	3151
297	1335	3146
298	1340	3143
299	1345	3140
300	1350	3137
301	1355	3132
302	1359	3127
303	1364	3123
304	1368	3117
305	1372	3113
306	1377	3108
307	1383	3108
308	1387	3103
309	1392	3099
310	1397	3095
311	1401	3090
312	1405	3085
313	1410	3081
314	1415	3077
315	1419	3071
316	1423	3066
317	1427	3060
318	1431	3056
319	1435	3050
320	1439	3045
321	1444	3041
322	1448	3036
323	1452	3031
324	1456	3024
325	1460	3019
326	1464	3013
327	1468	3008
328	1472	3003
329	1477	3000
330	1481	2995
331	1485	2989
332	1489	2984
333	1493	2978
334	1497	2972
335	1501	2967
336	1505	2961
337	1510	2959
338	1514	2953
339	1518	2947
340	1522	2942
341	1526	2937
342	1531	2933
343	1535	2927
344	1539	2923
345	1548	2926
346	1557	2931
347	1564	2930
348	1576	2939
349	1586	2946
350	1595	2950
351	1601	2947
352	1656	3036
353	1663	3035
354	1674	3041
355	1683	3045
356	1690	3045
357	1696	3042
358	1701	3037
359	1708	3036
360	1713	3032
361	1718	3028
362	1722	3023
363	1727	3019
364	1732	3014
365	1738	3010
366	1743	3007
367	1749	3004
368	1755	3001
369	1761	2999
370	1767	2996
371	1775	2996
372	1780	2993
373	1787	2991
374	1793	2988
375	1799	2985
376	1808	2988
377	1814	2986
378	1822	2985
379	1828	2983
380	1835	2981
381	1844	2983
382	1852	2984
383	1859	2983
384	1866	2981
385	1874	2982
386	1883	2984
387	1890	2981
388	1896	2979
389	1904	2979
390	1927	3001
391	1935	3002
392	1943	3001
393	1948	2996
394	1954	2993
395	1960	2990
396	1968	2989
397	1975	2988
398	1981	2984
399	1987	2981
400	1993	2977
401	2001	2976
402	2007	2974
403	2013	2970
404	2019	2967
405	2025	2963
406	2031	2960
407	2038	2957
408	2044	2953
409	2050	2950
410	2055	2945
411	2061	2941
412	2068	2940
413	2073	2934
414	2078	2929
415	2083	2925
416	2089	2921
417	2098	2922
418	2105	2919
419	2110	2914
420	2116	2911
421	2122	2906
422	2129	2905
423	2136	2902
424	2141	2897
425	2147	2893
426	2152	2888
427	2158	2884
428	2164	2881
429	2169	2875
430	2174	2870
431	2179	2865
432	2183	2859
433	2189	2855
434	2195	2852
435	2201	2847
436	2205	2841
437	2210	2836
438	2215	2830
439	2219	2824
440	2224	2819
441	2230	2815
442	2235	2810
443	2239	2804
444	2243	2798
445	2248	2793
446	2253	2787
447	2257	2781
448	2264	2778
449	2269	2773
450	2273	2767
451	2278	2762
452	2282	2756
453	2287	2750
454	2292	2746
455	2297	2741
456	2302	2735
457	2306	2729
458	2311	2724
459	2315	2718
460	2319	2712
461	2325	2708
462	2330	2703
463	2334	2697
464	2339	2691
465	2344	2686
466	2348	2680
467	2352	2674
468	2358	2670
469	2363	2664
470	2367	2659
471	2372	2654
472	2377	2648
473	2381	2643
474	2386	2637
475	2392	2633
476	2397	2628
477	2401	2623
478	2407	2618
479	2412	2613
480	2417	2608
481	2424	2605
482	2429	2600
483	2434	2595
484	2440	2591
485	2444	2585
486	2450	2581
487	2456	2576
488	2462	2572
489	2467	2567
490	2472	2563
491	2477	2558
492	2482	2553
493	2489	2550
494	2494	2545
495	2500	2540
496	2506	2536
497	2511	2531
498	2516	2526
499	2522	2522
500	2528	2518
501	2532	2512
502	2537	2507
503	2542	2501
504	2546	2496
505	2551	2491
506	2557	2487
507	2562	2482
508	2567	2476
509	2571	2470
510	2575	2465
511	2580	2459
512	2587	2456
513	2592	2451
514	2597	2446
515	2602	2441
516	2608	2436
517	2613	2431
518	2620	2428
519	2625	2423
520	2630	2418
521	2636	2414
522	2641	2409
523	2645	2403
524	2652	2399
525	2656	2394
526	2661	2388
527	2666	2383
528	2670	2377
529	2675	2372
530	2680	2367
531	2687	2363
532	2692	2359
533	2698	2354
534	2703	2349
535	2708	2344
536	2712	2338
537	2718	2334
538	2724	2329
539	2728	2324
540	2733	2319
541	2738	2314
542	2742	2308
543	2749	2304
544	2754	2299
545	2759	2294
546	2764	2289
547	2768	2283
548	2773	2278
549	2777	2272
550	2784	2268
551	2789	2264
552	2795	2259
553	2800	2254
554	2805	2249
555	2810	2244
556	2817	2240
557	2822	2236
558	2827	2230
559	2832	2225
560	2837	2220
561	2841	2214
562	2847	2210
563	2851	2204
564	2855	2198
565	2860	2193
566	2863	2187
567	2868	2181
568	2872	2175
569	2877	2170
570	2881	2164
571	2885	2159
572	2890	2154
573	2895	2149
574	2900	2143
575	2904	2137
576	2909	2132
577	2913	2127
578	2917	2121
579	2921	2115
580	2925	2109
581	2929	2103
582	2934	2098
583	2938	2093
584	2945	2089
585	2950	2084
586	2955	2079
587	2960	2074
588	2965	2069
589	2970	2064
590	2977	2060
591	2983	2056
592	2987	2050
593	2993	2045
594	2998	2040
595	3003	2036
596	3010	2031
597	3015	2027
598	3020	2021
599	3025	2017
600	3030	2012
601	3035	2007
602	3041	2002
603	3046	1997
604	3050	1991
605	3055	1986
606	3059	1980
607	3063	1975
608	3067	1969
609	3072	1964
610	3076	1958
611	3080	1953
612	3084	1947
613	3088	1941
614	3092	1936
615	3097	1930
616	3102	1925
617	3107	1920
618	3111	1914
619	3115	1909
620	3119	1903
621	3123	1898
622	3127	1892
623	3131	1886
624	3135	1881
625	3141	1876
626	3145	1871
627	3149	1865
628	3154	1860
629	3158	1854
630	3162	1849
631	3166	1843
632	3172	1839
633	3176	1833
634	3180	1828
635	3184	1822
636	3188	1816
637	3192	1811
638	3196	1805
639	3200	1800
640	3204	1794
641	3209	1789
642	3213	1784
643	3217	1778
644	3221	1772
645	3225	1767
646	3229	1761
647	3234	1756
648	3238	1751
649	3243	1746
650	3249	1741
651	3254	1736
652	3258	1731
653	3263	1726
654	3269	1722
655	3273	1716
656	3278	1711
657	3283	1706
658	3287	1701
659	3291	1695
660	3296	1690
661	3301	1685
662	3306	1680
663	3310	1675
664	3315	1670
665	3319	1664
666	3323	1659
667	3328	1654
668	3332	1648
669	3337	1644
670	3341	1638
671	3346	1633
672	3350	1627
673	3353	1622
674	3357	1616
675	3361	1611
676	3366	1605
677	3370	1600
678	3374	1595
679	3378	1589
680	3382	1584
681	3386	1579
682	3390	1573
683	3394	1568
684	3399	1563
685	3403	1557
686	3407	1552
687	3411	1546
688	3415	1541
689	3418	1536
690	3422	1530
691	3426	1525
692	3431	1519
693	3435	1514
694	3439	1509
695	3443	1504
696	3447	1498
697	3451	1493
698	3455	1487
699	3459	1482
700	3464	1477
701	3469	1472
702	3474	1467
703	3478	1462
704	3482	1457
705	3486	1451
706	3491	1446
707	3496	1441
708	3500	1436
709	3505	1431
710	3509	1426
711	3512	1420
712	3516	1415
713	3521	1410
714	3525	1405
715	3530	1400
716	3535	1395
717	3538	1389
718	3543	1384
719	3547	1379
720	3551	1374
721	3555	1368
722	3559	1363
723	3565	1359
724	3569	1354
725	3573	1348
726	3577	1343
727	3582	1338
728	3586	1333
729	3590	1328
730	3596	1323
731	3600	1318
732	3604	1312
733	3608	1307
734	3612	1302
735	3616	1297
736	3621	1292
737	3626	1287
738	3632	1282
739	3636	1277
740	3641	1272
741	3645	1267
742	3650	1262
743	3655	1257
744	3661	1253
745	3666	1248
746	3670	1243
747	3675	1238
748	3679	1233
749	3684	1228
750	3690	1223
751	3695	1218
752	3700	1213
753	3703	1208
754	3708	1203
755	3712	1198
756	3717	1193
757	3722	1188
758	3728	1183
759	3732	1178
760	3737	1173
761	3742	1168
762	3746	1163
763	3751	1158
764	3757	1154
765	3762	1149
766	3766	1144
767	3771	1139
768	3775	1134
769	3780	1129
770	3784	1124
771	3790	1119
772	3795	1114
773	3799	1109
774	3804	1104
775	3808	1099
776	3813	1094
777	3818	1089
778	3824	1085
779	3829	1079
780	3833	1074
781	3837	1069
782	3841	1064
783	3846	1059
784	3850	1054
785	3857	1050
786	3861	1045
787	3864	1039
788	3868	1034
789	3873	1029
790	3877	1024
791	3881	1019
792	3886	1014
793	3891	1009
794	3896	1004
795	3902	1000
796	3907	995
797	3911	990
798	3916	985
799	3921	980
800	3926	975
801	3930	970
802	3935	965
803	3940	960
804	3944	955
805	3949	950
806	3952	945
807	3957	940
808	3961	935
809	3966	930
810	3970	925
811	3974	920
812	3980	915
813	3984	910
814	3988	905
815	3992	900
816	3996	895
817	4000	890
818	4005	885
819	4010	880
820	4014	875
821	4019	870
822	4023	865
823	4027	860
824	4031	855
825	4036	850
826	4041	845
827	4045	840
828	4049	835
829	4053	830
830	4057	825
831	4061	820
832	4065	815
833	4069	810
834	4074	805
835	4079	800
836	4083	795
837	4086	790
838	4091	785
839	4094	779
840	4098	774
841	4102	769
842	4107	764
843	4111	759
844	4115	754
845	4119	749
846	4123	744
847	4127	739
848	4131	734
849	4135	729
850	4141	725
851	4146	720
852	4149	715
853	4153	710
854	4157	705
855	4161	700
856	4165	695
857	4170	690
858	4176	685
859	4180	680
860	4184	675
861	4188	670
862	4192	665
863	4196	660
864	4201	655
865	4206	650
866	4210	645
867	4214	640
868	4218	635
869	4222	631
870	4226	625
871	4230	620
872	4235	616
873	4239	611
874	4243	606
875	4247	601
876	4251	596
877	4255	591
878	4259	586
879	4263	581
880	4268	576
881	4272	571
882	4277	566
883	4280	561
884	4284	556
885	4288	551
886	4292	546
887	4296	541
888	4301	537
889	4305	532
890	4309	527
891	4313	522
892	4317	517
893	4321	512
894	4325	507
895	4329	502
896	4334	497
897	4338	492
898	4342	487
899	4346	482
900	4350	477
901	4354	473
902	4359	468
903	4363	463
904	4369	458
905	4374	453
906	4378	448
907	4382	444
908	4386	439
909	4390	434
910	4395	429
911	4401	424
912	4405	419
913	4409	414
914	4413	409
915	4417	405
916	4422	400
917	4427	395
918	4433	390
919	4437	385
920	4442	381
921	4447	376
922	4452	371
923	4456	366
924	4462	361
925	4468	357
926	4472	352
927	4477	347
928	4482	342
929	4487	337
930	4491	332
931	4496	328
932	4500	323
933	4505	318
934	4509	313
935	4513	308
936	4517	303
937	4522	298
938	4527	294
939	4532	289
940	4536	284
941	4540	279
942	4544	274
943	4549	269
944	4553	264
945	4557	260
946	4562	255
947	4566	250
948	4570	245
949	4574	240
950	4579	235
951	4582	231
952	4587	226
953	4591	221
954	4597	216
955	4601	211
956	4604	206
957	4609	202
958	4612	197
959	4616	192
960	4621	187
961	4626	182
962	4631	177
963	4635	173
964	4639	168
965	4644	163
966	4648	158
967	4652	153
968	4656	148
969	4661	144
970	4666	139
971	4670	134
972	4674	129
973	4678	124
974	4681	120
975	4685	115
976	4690	110
977	4695	105
978	4699	100
979	4703	95
980	4707	91
981	4711	86
982	4715	81
983	4719	76
984	4723	71
985	4727	67
986	4731	62
987	4735	57
988	4739	52
989	4743	47
990	4747	43
991	4751	38
992	4755	33
993	4759	28
994	4764	23
995	4768	19
996	4772	14
997	4775	9
998	4779	4
999	4783	0
